암호화된요양기호,요양기관명,요양종별,시도명,시군구명,도로명주소,표시과목명,개설일자
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxOTYxIzMxIyQxIyQzIyQxMyQzNjEwMDIjNDEjJDEjJDgjJDgz,한마음가정의원,의원,경기도,수원시 권선구,"경기도 수원시 권선구 상탑로 106, 1층 (서둔동)",일반의,2002-11-08
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQyIyQxIyQwMCQyNjEwMDIjNjEjJDEjJDgjJDgz,한마음가정의학과의원,의원,경기도,의왕시,"경기도 의왕시 원골로 12, 2층 (오전동, 도원빌딩)",가정의학과,1997-09-17
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMzUxIzUxIyQxIyQ1IyQwMyQzNjE0ODEjNzEjJDEjJDgjJDgz,한마음가정의학과의원,의원,경기도,수원시 장안구,"경기도 수원시 장안구 이목로 24, 상가2동 202호 (정자동)",가정의학과,2013-07-02
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzQxIyQyIyQ3IyQwMCQzNjE4MzIjODEjJDEjJDYjJDgz,한마음내과영상의학과의원,의원,경기도,용인시 수지구,"경기도 용인시 수지구 풍덕천로 122, 4층 405,405-1호 (풍덕천동, 하나로프라자)",내과,2007-07-30
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxOTYxIzMxIyQxIyQzIyQ5OSQyNjEwMDIjODEjJDEjJDYjJDgz,한마음내과의원,의원,경기도,의정부시,"경기도 의정부시 용민로 77, 5층 (용현동)",내과,1994-04-02
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzQxIyQxIyQ3IyQ2MiQzNjE4MzIjNjEjJDEjJDgjJDgz,한마음내과의원,의원,경기도,시흥시,"경기도 시흥시 수인로 3372, 401,402호 (신천동)",내과,2012-01-25
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQxIyQ5IyQwMyQ0NjE0ODEjNDEjJDEjJDgjJDgz,한마음내과의원,의원,경기도,광주시,경기도 광주시 곤지암읍 평촌길 35-7,내과,2005-02-26
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxOTYxIzMxIyQxIyQzIyQwMyQyNjE4MzIjNDEjJDEjJDQjJDgz,한마음서울안과의원,의원,경기도,의정부시,"경기도 의정부시 용민로 77, 302호 (용현동, 한마음미주빌딩)",안과,2003-12-05
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzExIyQxIyQ3IyQ5MiQzNjEyMjIjNjEjJDEjJDgjJDgz,한마음소아청소년과의원,의원,경기도,안산시 단원구,"경기도 안산시 단원구 광덕동로 75, 사또타워 105호 (고잔동)",소아청소년과,2018-02-28
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQ5MiQyNjEyMjIjNTEjJDEjJDIjJDgz,한마음신경외과의원,의원,경기도,파주시,"경기도 파주시 경의로 1821, 2층 (아동동)",신경외과,2002-05-14
