date,point,value
20210302,102,21
20210303,102,30
20210304,102,24
20210305,102,17
20210306,102,28
20210307,102,27
20210308,102,28
20210309,102,39
20210310,102,64
20210311,102,106
20210312,102,80
20210313,102,91
20210314,102,58
20210315,102,38
20210316,102,109
20210317,102,56
20210318,102,50
20210319,102,72
20210320,102,50
20210321,102,37
20210322,102,40
20210323,201,59
20210324,102,45
20210325,102,43
20210326,102,45
20210327,102,55
20210328,102,51
20210329,102,328
20210330,102,64
20210331,102,55
20210401,102,44
20210402,102,46
20210403,102,17
20210404,102,26
20210405,102,26
20210406,102,39
20210407,102,38
20210408,102,30
20210409,102,48
20210410,102,40
20210411,102,26
20210412,102,39
20210413,102,21
20210414,102,32
20210415,102,28
20210416,102,80
20210417,102,100
20210418,102,34
20210419,102,48
20210420,102,34
20210421,102,35
20210422,102,44
20210423,102,29
20210424,102,24
20210425,102,35
20210426,102,30
20210427,102,20
20210428,102,108
20210429,102,85
20210430,102,25
20210501,102,25
20210502,102,31
20210503,102,31
20210504,102,16
20210505,102,61
20210506,102,76
20210507,102,379
20210508,102,182
20210509,102,46
20210510,102,18
20210511,102,28
20210512,102,20
20210513,102,20
20210514,102,25
20210515,102,24
20210516,102,21
20210517,102,16
20210518,102,36
20210519,102,25
20210520,102,31
20210521,102,17
20210522,102,19
20210523,102,22
20210524,102,134
20210525,102,65
20210526,102,54
20210527,102,35
20210528,102,32
20210529,102,14
20210530,102,20
20210531,102,20
20210601,201,27
20210602,102,37
20210603,102,12
20210604,102,32
20210605,102,43
20210606,102,28
20210607,102,15
20210608,201,28
20210609,201,34
20210610,102,18
20210611,102,15
20210612,201,17
20210613,201,18
20210614,102,13
20210615,102,12
20210616,102,18
20210617,102,14
20210618,102,20
20210619,102,29
20210620,102,23
20210621,102,29
20210622,201,28
20210623,102,23
20210624,102,27
20210625,102,19
20210626,102,21
20210627,102,26
20210628,102,28
20210629,102,24
20210630,102,20
20210701,102,19
20210702,102,37
20210703,102,20
20210704,102,9
20210705,102,9
20210706,102,18
20210707,102,25
20210708,102,32
20210709,102,31
20210710,102,22
20210711,102,12
20210712,102,17
20210713,102,17
20210714,102,16
20210715,102,15
20210716,102,16
20210717,102,19
20210718,102,18
20210719,102,18
20210720,102,22
20210721,102,20
20210722,102,27
20210723,102,32
20210724,102,35
20210725,102,30
20210726,102,26
20210727,102,25
20210728,102,23
20210729,102,20
20210730,102,16
20210731,102,28
20210801,102,22
20210802,102,20
20210803,102,14
20210804,102,11
20210805,201,19
20210806,102,11
20210807,102,16
20210808,102,23
20210809,102,16
20210810,102,26
20210811,201,27
20210812,102,26
20210813,102,24
20210814,102,29
20210815,102,20
20210816,102,20
20210817,102,23
20210818,102,18
20210819,102,21
20210820,102,16
20210821,102,13
20210822,102,27
20210823,102,20
20210824,102,10
20210825,102,22
20210826,102,44
20210827,102,22
20210828,102,32
20210829,102,19
20210830,102,36
20210831,102,16
20210901,102,22
20210902,102,16
20210903,102,21
20210904,102,15
20210905,102,14
20210906,102,15
20210907,102,10
20210908,102,14
20210909,102,14
20210910,102,19
20210911,102,15
20210912,102,17
20210913,102,28
20210914,102,37
20210915,102,21
20210916,102,14
20210917,102,22
20210918,102,15
20210919,102,22
20210920,102,25
20210921,201,15
20210922,102,12
20210923,102,14
20210924,102,18
20210925,102,15
20210926,102,12
20210927,102,13
20210928,102,11
20210929,201,14
20210930,102,28
20211001,201,27
20211002,201,20
20211003,102,33
20211004,102,23
20211005,102,11
20211006,102,11
20211007,102,9
20211008,102,13
20211009,102,18
20211010,102,26
20211011,102,25
20211012,102,26
20211013,102,14
20211014,102,17
20211015,102,17
20211016,102,47
20211017,102,18
20211018,102,20
20211019,102,19
20211020,102,11
20211021,102,17
20211022,102,22
20211023,102,24
20211024,102,20
20211025,102,25
20211026,102,44
20211027,102,31
20211028,102,21
20211029,102,35
20211030,102,29
20211031,201,24
20211101,102,20
20211102,102,20
20211103,102,39
20211104,102,53
20211105,102,51
20211106,102,44
20211107,102,43
20211108,102,16
20211109,102,12
20211110,102,12
20211111,102,17
20211112,102,13
20211113,102,27
20211114,102,49
20211115,102,28
20211116,102,26
20211117,201,33
20211118,102,80
20211119,102,46
20211120,102,17
20211121,102,25
20211122,102,46
20211123,102,19
20211124,102,28
20211125,102,39
20211126,102,18
20211127,102,15
20211128,102,28
20211129,102,27
20211130,102,16
20211201,102,17
20211202,102,22
20211203,102,18
20211204,102,15
20211205,102,15
20211206,102,20
20211207,102,30
20211208,102,36
20211209,102,40
20211210,102,47
20211211,102,49
20211212,102,22
20211213,102,22
20211214,102,39
20211215,102,69
20211216,102,58
20211217,102,24
20211218,102,21
20211219,102,33
20211220,102,75
20211221,102,47
