지점,지점명,일시,평균상대습도
112,인천,2019-02-28,62.5
112,인천,2019-03-01,64.9
112,인천,2019-03-02,57.4
112,인천,2019-03-03,49
112,인천,2019-03-04,63.9
112,인천,2019-03-05,83.1
112,인천,2019-03-06,70.5
112,인천,2019-03-07,54.8
112,인천,2019-03-08,57
112,인천,2019-03-09,53.3
112,인천,2019-03-10,37.8
112,인천,2019-03-11,81.3
112,인천,2019-03-12,61.8
112,인천,2019-03-13,44.6
112,인천,2019-03-14,58.3
112,인천,2019-03-15,79.9
112,인천,2019-03-16,74.9
112,인천,2019-03-17,68.5
112,인천,2019-03-18,53.6
112,인천,2019-03-19,68.1
112,인천,2019-03-20,85
112,인천,2019-03-21,80
112,인천,2019-03-22,44.1
112,인천,2019-03-23,54.8
112,인천,2019-03-24,57.5
112,인천,2019-03-25,66
112,인천,2019-03-26,72.8
112,인천,2019-03-27,80.8
112,인천,2019-03-28,61.6
112,인천,2019-03-29,43
112,인천,2019-03-30,78.5
112,인천,2019-03-31,51.6
112,인천,2019-04-01,47.5
112,인천,2019-04-02,51.9
112,인천,2019-04-03,60.3
112,인천,2019-04-04,66.6
112,인천,2019-04-05,56.9
112,인천,2019-04-06,53.9
112,인천,2019-04-07,50
112,인천,2019-04-08,35.5
112,인천,2019-04-09,51.6
112,인천,2019-04-10,86.1
112,인천,2019-04-11,73.9
112,인천,2019-04-12,69.9
112,인천,2019-04-13,42.5
112,인천,2019-04-14,57.3
112,인천,2019-04-15,48.4
112,인천,2019-04-16,32.4
112,인천,2019-04-17,55.9
112,인천,2019-04-18,88.5
112,인천,2019-04-19,66.1
112,인천,2019-04-20,78.3
112,인천,2019-04-21,92.6
112,인천,2019-04-22,70.6
112,인천,2019-04-23,67
112,인천,2019-04-24,82.1
112,인천,2019-04-25,87.5
112,인천,2019-04-26,84.1
112,인천,2019-04-27,59.5
112,인천,2019-04-28,61.6
112,인천,2019-04-29,54.4
112,인천,2019-04-30,61.5
112,인천,2019-05-01,65
112,인천,2019-05-02,39
112,인천,2019-05-03,53.9
112,인천,2019-05-04,61
112,인천,2019-05-05,55.4
112,인천,2019-05-06,32.5
112,인천,2019-05-07,57.5
112,인천,2019-05-08,67
112,인천,2019-05-09,65.1
112,인천,2019-05-10,64.9
112,인천,2019-05-11,62.4
112,인천,2019-05-12,46.9
112,인천,2019-05-13,52.4
112,인천,2019-05-14,61.1
112,인천,2019-05-15,68
112,인천,2019-05-16,63
112,인천,2019-05-17,58.5
112,인천,2019-05-18,60.9
112,인천,2019-05-19,96.9
112,인천,2019-05-20,68.5
112,인천,2019-05-21,69.4
112,인천,2019-05-22,64.1
112,인천,2019-05-23,62.9
112,인천,2019-05-24,59
112,인천,2019-05-25,62.4
112,인천,2019-05-26,48.6
112,인천,2019-05-27,86
112,인천,2019-05-28,60.9
112,인천,2019-05-29,63.4
112,인천,2019-05-30,59.8
112,인천,2019-05-31,64
112,인천,2019-06-01,73.5
112,인천,2019-06-02,57.8
112,인천,2019-06-03,60
112,인천,2019-06-04,67.3
112,인천,2019-06-05,85
112,인천,2019-06-06,92.5
112,인천,2019-06-07,80.1
112,인천,2019-06-08,66
112,인천,2019-06-09,78.1
112,인천,2019-06-10,70
112,인천,2019-06-11,58.6
112,인천,2019-06-12,72.9
112,인천,2019-06-13,67.3
112,인천,2019-06-14,70.9
112,인천,2019-06-15,66.3
112,인천,2019-06-16,65.4
112,인천,2019-06-17,75.6
112,인천,2019-06-18,79.9
112,인천,2019-06-19,85.5
112,인천,2019-06-20,84
112,인천,2019-06-21,84.8
112,인천,2019-06-22,55.6
112,인천,2019-06-23,45.3
112,인천,2019-06-24,67.8
112,인천,2019-06-25,67.3
112,인천,2019-06-26,66.9
112,인천,2019-06-27,82
112,인천,2019-06-28,84.4
112,인천,2019-06-29,84.9
112,인천,2019-06-30,90.6
112,인천,2019-07-01,81.6
112,인천,2019-07-02,83.6
112,인천,2019-07-03,87
112,인천,2019-07-04,82.3
112,인천,2019-07-05,62
112,인천,2019-07-06,48.8
112,인천,2019-07-07,46.4
112,인천,2019-07-08,49
112,인천,2019-07-09,51.3
112,인천,2019-07-10,67.5
112,인천,2019-07-11,84.4
112,인천,2019-07-12,83
112,인천,2019-07-13,87.1
112,인천,2019-07-14,80.9
112,인천,2019-07-15,85
112,인천,2019-07-16,85
112,인천,2019-07-17,76.4
112,인천,2019-07-18,70.8
112,인천,2019-07-19,66.4
112,인천,2019-07-20,73
112,인천,2019-07-21,94.8
112,인천,2019-07-22,92.5
112,인천,2019-07-23,86.3
112,인천,2019-07-24,95.5
112,인천,2019-07-25,97.4
112,인천,2019-07-26,98.4
112,인천,2019-07-27,85.6
112,인천,2019-07-28,96
112,인천,2019-07-29,84
112,인천,2019-07-30,87.6
112,인천,2019-07-31,97.1
112,인천,2019-08-01,93.5
112,인천,2019-08-02,82.4
112,인천,2019-08-03,75.5
112,인천,2019-08-04,74.8
112,인천,2019-08-05,73.8
112,인천,2019-08-06,59.4
112,인천,2019-08-07,75
112,인천,2019-08-08,79.4
112,인천,2019-08-09,72.6
112,인천,2019-08-10,63
112,인천,2019-08-11,57.6
112,인천,2019-08-12,95.3
112,인천,2019-08-13,81.8
112,인천,2019-08-14,75.9
112,인천,2019-08-15,80
112,인천,2019-08-16,82
112,인천,2019-08-17,74.6
